Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2015","2015","toneladas","255826","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2016","2016","toneladas","255826","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2017","2017","toneladas","255826","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2018","2018","toneladas","255826","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2019","2019","toneladas","255826","F","Estimación FAO"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1990","1990","toneladas","37429","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1991","1991","toneladas","33713","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1992","1992","toneladas","27821","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1993","1993","toneladas","25982","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1994","1994","toneladas","29923","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1995","1995","toneladas","27419","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1996","1996","toneladas","36052","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1997","1997","toneladas","33576","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1998","1998","toneladas","36439","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","1999","1999","toneladas","40430","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2000","2000","toneladas","30845","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2001","2001","toneladas","32122","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2002","2002","toneladas","28779","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2003","2003","toneladas","24508","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2004","2004","toneladas","26102","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2005","2005","toneladas","29209","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2006","2006","toneladas","23068","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2007","2007","toneladas","26808","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2008","2008","toneladas","27248","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2009","2009","toneladas","22565","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2010","2010","toneladas","22632","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2011","2011","toneladas","29209","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2012","2012","toneladas","27713","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2013","2013","toneladas","27834","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2014","2014","toneladas","30965","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2015","2015","toneladas","30575","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2016","2016","toneladas","30043","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2017","2017","toneladas","30230","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2018","2018","toneladas","34392","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","250","Francia","5157","Uso Agrícola","1320","Herbicidas","2019","2019","toneladas","34392","F","Estimación FAO"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1990","1990","toneladas","9602","F","Estimación FAO"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1991","1991","toneladas","9346","F","Estimación FAO"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1992","1992","toneladas","8087","F","Estimación FAO"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1993","1993","toneladas","8808","F","Estimación FAO"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1994","1994","toneladas","8970","F","Estimación FAO"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1995","1995","toneladas","9779","F","Estimación FAO"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1996","1996","toneladas","10393","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1997","1997","toneladas","10536","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1998","1998","toneladas","10599","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","1999","1999","toneladas","9616","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2000","2000","toneladas","9432","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2001","2001","toneladas","9982","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2002","2002","toneladas","11740","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2003","2003","toneladas","11462","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2004","2004","toneladas","8936","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2005","2005","toneladas","9191","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2006","2006","toneladas","8721","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2007","2007","toneladas","9180","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2008","2008","toneladas","8435","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","380","Italia","5157","Uso Agrícola","1320","Herbicidas","2009","2009","toneladas","7637","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
