Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2012","2012","toneladas","57170","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2013","2013","toneladas","70424","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2014","2014","toneladas","77043","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2015","2015","toneladas","71663","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2016","2016","toneladas","60607","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2017","2017","toneladas","60607","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2018","2018","toneladas","60607","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2019","2019","toneladas","60607","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1990","1990","toneladas","8404","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1991","1991","toneladas","9711","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1992","1992","toneladas","11018","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1993","1993","toneladas","12325","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1994","1994","toneladas","13632","F","Estimación FAO"
